sample_id	stage	rapa_treat	strand	fastq_r1	fastq_r2
SRX3653182_00h_yes_1	00h	yes	RF	sra/SRX3653182_1.fastq.gz	sra/SRX3653182_2.fastq.gz
SRX3653183_12h_no_1	12h	no	RF	sra/SRX3653183_1.fastq.gz	sra/SRX3653183_2.fastq.gz
SRX3653184_24h_no_1	24h	no	RF	sra/SRX3653184_1.fastq.gz	sra/SRX3653184_2.fastq.gz
SRX3653185_30h_no_1	30h	no	RF	sra/SRX3653185_1.fastq.gz	sra/SRX3653185_2.fastq.gz
SRX3653186_12h_yes_1	12h	yes	RF	sra/SRX3653186_1.fastq.gz	sra/SRX3653186_2.fastq.gz
SRX3653187_24h_yes_1	24h	yes	RF	sra/SRX3653187_1.fastq.gz	sra/SRX3653187_2.fastq.gz
SRX3653188_30h_yes_1	30h	yes	RF	sra/SRX3653188_1.fastq.gz	sra/SRX3653188_2.fastq.gz
SRX3653189_00h_no_1	00h	no	RF	sra/SRX3653189_1.fastq.gz	sra/SRX3653189_2.fastq.gz
SRX3653190_24h_no_2	24h	no	RF	sra/SRX3653190_1.fastq.gz	sra/SRX3653190_2.fastq.gz
SRX3653191_00h_yes_2	00h	yes	RF	sra/SRX3653191_1.fastq.gz	sra/SRX3653191_2.fastq.gz
SRX3653192_12h_no_2	12h	no	RF	sra/SRX3653192_1.fastq.gz	sra/SRX3653192_2.fastq.gz
SRX3653193_24h_no_3	24h	no	RF	sra/SRX3653193_1.fastq.gz	sra/SRX3653193_2.fastq.gz
SRX3653194_30h_no_2	30h	no	RF	sra/SRX3653194_1.fastq.gz	sra/SRX3653194_2.fastq.gz
SRX3653195_00h_yes_3	00h	yes	RF	sra/SRX3653195_1.fastq.gz	sra/SRX3653195_2.fastq.gz
SRX3653196_06h_yes_1	06h	yes	RF	sra/SRX3653196_1.fastq.gz	sra/SRX3653196_2.fastq.gz
SRX3653197_12h_yes_2	12h	yes	RF	sra/SRX3653197_1.fastq.gz	sra/SRX3653197_2.fastq.gz
SRX3653198_24h_yes_2	24h	yes	RF	sra/SRX3653198_1.fastq.gz	sra/SRX3653198_2.fastq.gz
SRX3653199_30h_yes_2	30h	yes	RF	sra/SRX3653199_1.fastq.gz	sra/SRX3653199_2.fastq.gz
SRX3653200_00h_no_2	00h	no	RF	sra/SRX3653200_1.fastq.gz	sra/SRX3653200_2.fastq.gz
SRX3653201_06h_no_1	06h	no	RF	sra/SRX3653201_1.fastq.gz	sra/SRX3653201_2.fastq.gz
SRX3653202_18h_no_1	18h	no	unstranded	sra/SRX3653202_1.fastq.gz	sra/SRX3653202_2.fastq.gz
SRX3653203_18h_yes_1	18h	yes	unstranded	sra/SRX3653203_1.fastq.gz	sra/SRX3653203_2.fastq.gz
SRX3653204_00h_yes_4	00h	yes	RF	sra/SRX3653204_1.fastq.gz	sra/SRX3653204_2.fastq.gz
SRX3653205_06h_yes_2	06h	yes	RF	sra/SRX3653205_1.fastq.gz	sra/SRX3653205_2.fastq.gz
SRX3653206_06h_yes_3	06h	yes	RF	sra/SRX3653206_1.fastq.gz	sra/SRX3653206_2.fastq.gz
SRX3653207_24h_yes_3	24h	yes	RF	sra/SRX3653207_1.fastq.gz	sra/SRX3653207_2.fastq.gz
SRX3653208_00h_no_3	00h	no	RF	sra/SRX3653208_1.fastq.gz	sra/SRX3653208_2.fastq.gz
SRX3653209_18h_no_2	18h	no	RF	sra/SRX3653209_1.fastq.gz	sra/SRX3653209_2.fastq.gz
SRX3653210_18h_yes_2	18h	yes	RF	sra/SRX3653210_1.fastq.gz	sra/SRX3653210_2.fastq.gz
SRX3653211_06h_no_2	06h	no	RF	sra/SRX3653211_1.fastq.gz	sra/SRX3653211_2.fastq.gz
SRX3653212_06h_no_3	06h	no	RF	sra/SRX3653212_1.fastq.gz	sra/SRX3653212_2.fastq.gz
SRX3653213_24h_no_4	24h	no	RF	sra/SRX3653213_1.fastq.gz	sra/SRX3653213_2.fastq.gz
